meter_id,account_no,site_name,bill_from,bill_to,consumption,unit,read_type,tariff_code,amount,currency
MTR-0042,ACC-881,Mumbai Office,01/01/2025,31/01/2025,4200,kWh,A,HT-II,63000,INR
MTR-0043,ACC-881,Mumbai Office,01/01/2025,31/01/2025,880,kWh,E,HT-II,13200,INR
MTR-0042,ACC-881,Mumbai Office,01/02/2025,28/02/2025,3950,kWh,A,HT-II,59250,INR
MTR-0043,ACC-881,Mumbai Office,01/02/2025,28/02/2025,760,kWh,E,HT-II,11400,INR
MTR-0089,ACC-204,Pune Factory,01/01/2025,31/01/2025,3.8,MWh,A,HT-I,570000,INR
MTR-0089,ACC-204,Pune Factory,01/02/2025,28/02/2025,4.1,MWh,A,HT-I,615000,INR
MTR-0090,ACC-204,Pune Factory,01/01/2025,31/01/2025,1.2,MWh,E,HT-I,180000,INR
MTR-0010,ACC-105,Delhi Office,01/01/2025,31/01/2025,1380,kWh,A,LT,20700,INR
MTR-0010,ACC-105,Delhi Office,01/02/2025,28/02/2025,1290,kWh,A,LT,19350,INR
MTR-0011,ACC-105,Delhi Office,01/01/2025,31/01/2025,0,kWh,A,LT,0,INR
MTR-0050,ACC-330,Bangalore HQ,01/01/2025,31/01/2025,9200,kWh,A,HT-II,138000,INR
MTR-0051,ACC-330,Bangalore HQ,01/01/2025,31/01/2025,1350,kWh,E,HT-II,20250,INR
MTR-0050,ACC-330,Bangalore HQ,01/02/2025,28/02/2025,8750,kWh,A,HT-II,131250,INR
MTR-0051,ACC-330,Bangalore HQ,01/02/2025,28/02/2025,1100,kWh,E,HT-II,16500,INR
MTR-0099,ACC-440,Chennai Plant,01/01/2025,31/01/2025,5100,kWh,A,HT-I,76500,INR
MTR-0099,ACC-440,Chennai Plant,01/02/2025,28/02/2025,4800,kWh,A,HT-I,72000,INR
MTR-0100,ACC-440,Chennai Plant,01/01/2025,31/01/2025,0.9,MWh,A,HT-I,135000,INR
MTR-0200,ACC-550,Hyderabad Campus,01/01/2025,31/01/2025,6600,kWh,A,HT-II,99000,INR
MTR-0201,ACC-550,Hyderabad Campus,01/01/2025,31/01/2025,920,kWh,E,HT-II,13800,INR
MTR-0200,ACC-550,Hyderabad Campus,01/02/2025,28/02/2025,6100,kWh,A,HT-II,91500,INR
